1748
0 15440 11286
1 16688 8228
2 17936 6116
3 6320 12144
4 6400 9680
5 6480 6842
6 1232 10098
7 1376 5588
8 1520 4796
9 4272 12452
10 4400 10296
11 4528 7150
12 5088 10296
13 5648 8624
14 5968 6952
15 5648 12452
16 6288 5478
17 6288 7986
18 6320 9020
19 6352 11814
20 6736 9020
21 7120 6820
22 18224 4213
23 18642 4422
24 14128 7084
25 14704 9548
26 15280 11946
27 3504 11814
28 4656 9020
29 5808 6512
30 784 5390
31 880 6776
32 976 7150
33 1040 7524
34 1104 11066
35 9104 12078
36 10464 9548
37 11824 6776
38 10768 11770
39 11264 8932
40 11760 6468
41 10064 13046
42 10576 11484
43 11088 8052
44 9072 11550
45 10592 8492
46 12112 6248
47 8688 12782
48 10368 10956
49 12048 7480
50 8656 12672
51 10528 10736
52 12400 7370
53 8528 12298
54 10432 9988
55 12336 6996
56 8464 12408
57 8512 10208
58 8560 7414
59 7216 11770
60 7488 8932
61 7760 6776
62 12560 12056
63 13360 9768
64 14160 7194
65 13680 10912
66 16016 7480
67 18352 5742
68 17712 11528
69 17936 8448
70 18160 6226
71 12784 12166
72 13840 9988
73 14896 7304
74 13712 9482
75 4208 7634
76 6304 11264
77 8400 12936
78 10480 4862
79 11392 5104
80 12304 9724
81 12592 12166
82 12624 9988
83 12656 7304
84 14864 12276
85 14944 10208
86 15024 7414
87 4432 5808
88 6112 7612
89 7792 11110
90 16496 7678
91 17456 10736
92 18416 12672
93 1200 10318
94 1232 6028
95 1264 5016
96 16400 7568
97 17152 10516
98 17904 12562
99 3984 7524
100 6128 11044
101 8272 12826
102 16336 11946
103 16656 9548
104 16976 6776
105 1008 4906
106 1024 5808
107 1040 10208
108 5808 11968
109 5872 9328
110 5936 6666
111 4432 11550
112 4544 8492
113 4656 6248
114 16848 12914
115 17616 11484
116 18384 7744
117 8240 12034
118 8336 9460
119 8432 7040
120 1584 10582
121 1632 6556
122 1680 5280
123 2576 4906
124 2624 5808
125 2672 10208
126 16944 5852
127 16976 7700
128 17008 11022
129 880 9834
130 1136 5060
131 1392 4532
132 5520 13200
133 5600 11792
134 5680 7898
135 3888 6248
136 4016 8492
137 4144 11550
138 16592 12650
139 17344 10956
140 18096 7480
141 8016 12034
142 8080 9460
143 8144 7040
144 16784 9680
145 17296 5016
146 17808 4510
147 784 10846
148 944 7084
149 1104 5544
150 7728 12298
151 7824 9988
152 7920 7304
153 5232 13046
154 5376 11484
155 5520 7744
156 3856 9306
157 4720 11924
158 4848 9240
159 4976 6622
160 17616 11154
161 18144 7700
162 18672 5852
163 7376 12034
164 7440 9460
165 7504 7040
166 1808 12452
167 1888 10296
168 1968 7150
169 12528 6446
170 12688 8888
171 12848 11616
172 14608 8888
173 16368 6754
174 16368 9438
175 17088 9988
176 17808 12298
177 1680 10736
178 1744 6864
179 1808 5434
180 5936 12408
181 6048 10208
182 6160 7106
183 17680 12892
184 18096 11176
185 18512 7590
186 10320 5236
187 10960 5852
188 11600 10230
189 18800 5093
190 18930 6182
191 4848 14520
192 5536 14432
193 6224 11946
194 6304 9460
195 6224 14520
196 6384 6732
197 1936 10164
198 2016 5720
199 2096 4862
200 816 9944
201 1024 5280
202 1232 4642
203 18448 4389
204 18754 4774
205 6672 6886
206 6736 9768
207 6800 11154
208 9392 12540
209 6800 13750
210 6800 12694
211 11984 8272
212 12128 12540
213 12272 13442
214 10736 12408
215 11600 10208
216 12464 7106
217 8784 12034
218 8880 9460
219 8976 7040
220 3280 6028
221 5424 8052
222 7568 11330
223 10544 13156
224 10592 11704
225 10640 8162
226 7824 7458
227 7872 10296
228 7920 12452
229 10608 14168
230 11296 13728
231 11984 13288
232 12016 12848
233 11984 14036
234 12048 12166
235 12160 11484
236 12272 7744
237 9360 14520
238 10400 14432
239 11440 11022
240 12288 7612
241 11440 14520
242 13136 6116
243 5776 4202
244 5888 4400
245 6000 4202
246 6000 8052
247 8176 11704
248 10352 11440
249 10448 11176
250 10352 13156
251 10544 7898
252 11568 11660
253 11616 8712
254 11664 6358
255 656 9306
256 16304 11396
257 16976 8448
258 17648 6226
259 6608 12144
260 6624 9680
261 6640 6842
262 6032 4202
263 6048 4400
264 6064 4202
265 11632 6666
266 11920 9328
267 12208 11836
268 253 4422
269 304 4213
270 10864 10890
271 12272 7172
272 13680 5896
273 9520 13838
274 10880 13068
275 12240 12496
276 13024 11924
277 12240 13706
278 13808 8272
279 7536 12034
280 7744 9460
281 7952 7040
282 3120 6248
283 3200 8492
284 3280 11550
285 11376 9306
286 3152 11660
287 3200 8712
288 3248 6358
289 1392 10472
290 1472 6336
291 1552 5170
292 464 9108
293 576 14212
294 688 14410
295 7600 12144
296 7632 9680
297 7664 7150
298 5360 8052
299 5520 12100
300 5680 13354
301 10032 10560
302 10112 6512
303 10192 5566
304 3056 5522
305 4272 7040
306 5488 10824
307 9936 12892
308 10016 11176
309 10096 7898
310 560 4092
311 656 4180
312 752 4092
313 752 8096
314 2976 12012
315 5200 13310
316 4944 11660
317 5168 8712
318 5392 5698
319 5392 8052
320 5824 7392
321 6256 5698
322 6256 8800
323 6624 10208
324 6992 12320
325 6992 14520
326 7200 14432
327 7408 14520
328 9232 11330
329 9280 8052
330 9328 6336
331 4880 7370
332 5888 10736
333 6896 10252
334 6992 9768
335 6896 12672
336 7088 7194
337 3760 12672
338 3904 10736
339 4048 7370
340 8304 12144
341 8352 9680
342 8400 7150
343 9776 11440
344 11280 8272
345 12784 6446
346 7056 9614
347 14320 7194
348 14416 9768
349 14512 12056
350 14704 12276
351 14720 10208
352 14736 7414
353 2928 5918
354 3296 7832
355 3664 11220
356 4128 7832
357 4592 5918
358 13072 9482
359 10480 10560
360 11552 6512
361 12624 5566
362 6896 7040
363 7008 9460
364 7120 12034
365 3408 7150
366 3568 10296
367 3728 12452
368 7248 12188
369 7328 9768
370 7408 7194
371 3568 6886
372 3744 9768
373 3920 12188
374 2896 7040
375 3216 10076
376 3536 12342
377 4144 10076
378 4752 7040
379 12720 12166
380 12736 9988
381 12752 7304
382 2800 12034
383 2816 9460
384 2832 6732
385 8112 12144
